Date,Open,High,Low,Close,Volume,Adj Close
2015-01-30,135.87,138.50,135.87,138.28,14871200,137.73
2015-01-29,136.12,136.67,135.46,135.87,8881400,135.33
2015-01-28,134.75,137.41,134.70,136.77,12230300,136.23
2015-01-27,135.73,136.13,134.15,134.57,8079600,134.04
2015-01-26,134.84,135.19,134.05,134.36,5966500,133.83
2015-01-23,134.30,135.12,134.15,134.77,7334600,134.24
2015-01-22,134.00,134.18,132.28,132.92,10200000,132.39
2015-01-21,135.20,135.59,132.96,133.40,9803900,132.87
2015-01-20,134.13,135.11,134.07,134.96,7758700,134.43
2015-01-16,134.33,134.68,133.03,133.19,9390500,132.66
2015-01-15,132.85,135.03,132.68,134.91,11454200,134.38
2015-01-14,133.72,134.12,132.70,132.82,12324500,132.29
2015-01-13,131.39,132.61,131.14,131.82,8260000,131.30
2015-01-12,131.00,132.31,130.92,131.82,6658100,131.30
2015-01-09,129.20,131.11,129.04,131.07,9392800,130.55
2015-01-08,130.36,130.37,129.42,129.65,8055300,129.14
2015-01-07,130.70,131.97,130.17,131.39,9762900,130.87
2015-01-06,130.70,132.49,130.19,131.65,18331300,131.13
2015-01-05,128.01,129.63,127.96,129.32,9789500,128.81
2015-01-02,126.29,127.66,126.15,127.32,9432000,126.82
2014-12-31,125.70,126.17,125.65,125.92,4993300,125.42
2014-12-30,125.98,126.21,125.53,125.68,4372600,125.18
2014-12-29,124.91,125.66,124.81,125.34,4070700,124.84
2014-12-26,124.55,124.59,124.02,124.41,2921300,123.92
2014-12-24,123.06,124.06,122.93,123.95,4870600,123.46
2014-12-23,125.45,125.60,123.49,123.54,7406100,122.79
2014-12-22,125.45,126.19,125.32,126.04,4118200,125.28
2014-12-19,124.58,125.95,124.44,125.87,7894500,125.11
2014-12-18,124.93,125.10,124.20,124.20,12756800,123.45
2014-12-17,126.91,127.19,125.70,126.45,11558300,125.68
2014-12-16,127.36,127.72,126.36,127.60,7426400,126.83
2014-12-15,125.64,126.70,125.43,126.04,9387400,125.28
2014-12-12,125.45,126.35,125.02,126.30,9317400,125.53
2014-12-11,123.74,124.61,123.29,124.61,7863500,123.85
2014-12-10,123.18,124.40,123.08,124.10,6437000,123.35
2014-12-09,123.60,123.97,122.96,123.20,6639700,122.45
2014-12-08,121.42,122.84,121.14,122.57,6019200,121.83
2014-12-05,121.57,121.60,120.52,121.09,8030700,120.36
2014-12-04,120.75,121.80,120.62,121.80,3836200,121.06
2014-12-03,120.30,120.80,120.13,120.79,4867700,120.06
2014-12-02,120.84,120.85,120.29,120.32,5755900,119.59
2014-12-01,122.68,122.81,121.46,121.50,7728600,120.76
2014-11-28,122.13,122.67,122.13,122.49,4562200,121.47
2014-11-26,121.64,121.87,121.47,121.53,4339000,120.52
2014-11-25,120.37,121.27,120.31,121.20,6769100,120.19
2014-11-24,119.67,120.27,119.55,120.20,4033500,119.20
2014-11-21,119.57,120.16,119.52,120.10,3639500,119.10
2014-11-20,119.90,119.95,119.06,119.38,5683600,118.39
2014-11-19,118.88,119.58,118.76,118.76,5791800,117.77
2014-11-18,119.32,119.58,119.16,119.52,4471200,118.53
2014-11-17,119.78,119.79,118.88,119.19,4726000,118.20
2014-11-14,118.84,119.59,118.68,119.49,5191200,118.50
2014-11-13,118.70,119.18,118.44,118.91,4475900,117.92
2014-11-12,119.20,119.53,118.45,118.63,4040600,117.64
2014-11-11,118.48,118.81,118.34,118.73,2416000,117.74
2014-11-10,119.58,119.58,118.56,118.65,4787300,117.66
2014-11-07,118.72,119.75,118.68,119.75,8550500,118.75
2014-11-06,118.60,118.93,118.31,118.39,5901900,117.41
2014-11-05,118.91,119.37,118.82,119.16,4799600,118.17
2014-11-04,119.42,119.91,119.08,119.33,3664800,118.34
2014-11-03,118.90,119.16,118.21,118.96,9726600,117.97
2014-10-31,119.34,119.71,118.83,119.25,6664200,117.97
2014-10-30,120.32,120.46,119.51,119.56,7023900,118.28
2014-10-29,118.96,119.82,118.42,119.46,9105100,118.18
2014-10-28,119.48,119.65,119.08,119.19,5141300,117.91
2014-10-27,119.89,120.27,119.66,119.94,3391900,118.65
2014-10-24,119.93,120.41,119.47,119.72,5704900,118.44
2014-10-23,120.04,120.18,119.06,119.60,10936300,118.32
2014-10-22,120.47,120.85,120.22,120.67,9260200,119.38
2014-10-21,120.84,121.24,120.53,120.54,9754700,119.25
2014-10-20,121.78,121.85,120.94,121.51,7742500,120.21
2014-10-17,121.19,121.71,120.48,121.07,8524300,119.77
2014-10-16,124.12,124.13,121.44,121.75,18096600,120.44
2014-10-15,124.58,127.68,121.84,122.53,37407500,121.22
2014-10-14,121.31,121.78,120.68,121.57,11285400,120.27
2014-10-13,120.16,121.17,120.05,120.78,6450700,119.48
2014-10-10,119.52,120.08,119.31,120.05,8774400,118.76
2014-10-09,119.27,119.67,118.78,118.87,10291700,117.60
2014-10-08,119.45,119.52,118.51,119.39,9391300,118.11
2014-10-07,118.31,119.43,118.18,119.36,8837700,118.08
2014-10-06,117.62,118.19,117.36,117.77,4485500,116.51
2014-10-03,117.00,117.77,116.83,117.70,8561500,116.44
2014-10-02,117.83,118.20,117.14,117.20,8251800,115.94
2014-10-01,116.89,118.26,116.83,118.23,17194900,116.96
2014-09-30,116.66,117.04,116.13,116.27,7277500,114.74
2014-09-29,117.00,117.17,116.66,116.93,6791800,115.39
2014-09-26,116.02,116.29,115.62,116.00,7799600,114.47
2014-09-25,115.31,116.18,115.31,116.17,8947800,114.64
2014-09-24,115.29,115.55,114.64,114.81,5223300,113.30
2014-09-23,114.91,115.47,114.77,115.45,6362400,113.93
2014-09-22,114.66,115.04,114.44,114.74,6617200,113.23
2014-09-19,113.58,114.68,113.20,114.60,13236900,113.09
2014-09-18,113.18,113.48,112.85,113.16,7031200,111.67
2014-09-17,113.53,113.83,112.73,112.80,12917000,111.31
2014-09-16,113.61,113.86,113.08,113.09,9304700,111.60
2014-09-15,113.85,114.07,113.36,113.55,5510700,112.05
2014-09-12,113.69,113.92,113.22,113.38,11114900,111.89
2014-09-11,115.26,115.54,114.57,114.58,9274800,113.07
2014-09-10,114.97,115.12,114.79,114.96,8729400,113.44
2014-09-09,115.49,115.89,115.45,115.69,5353100,114.16
2014-09-08,116.41,116.63,115.45,115.78,9326400,114.25
2014-09-05,116.44,116.60,115.44,115.73,6886000,114.20
2014-09-04,116.62,116.88,115.93,115.95,12528900,114.42
2014-09-03,116.40,117.38,116.31,117.38,6553900,115.83
2014-09-02,117.28,117.38,116.70,116.73,10506000,115.19
2014-08-29,118.92,119.43,118.75,119.05,8512900,117.21
2014-08-28,119.13,119.37,118.67,118.97,9463600,117.13
2014-08-27,117.70,118.41,117.40,118.35,7265800,116.52
2014-08-26,117.94,117.99,117.21,117.35,5487600,115.54
2014-08-25,117.45,117.78,117.21,117.73,5760700,115.91
2014-08-22,116.74,117.43,116.21,117.29,10149900,115.48
2014-08-21,116.07,116.76,116.02,116.64,6790700,114.84
2014-08-20,116.04,116.11,115.57,115.99,7275600,114.20
2014-08-19,117.08,117.15,115.98,116.18,5936900,114.39
2014-08-18,117.21,117.30,116.39,116.54,7595300,114.74
2014-08-15,116.71,118.36,116.69,117.71,17606700,115.89
2014-08-14,115.93,116.50,115.39,116.44,9028200,114.64
2014-08-13,114.87,115.52,114.78,115.51,8210500,113.73
2014-08-12,115.41,115.44,114.73,114.76,8122400,112.99
2014-08-11,115.65,115.82,115.29,115.51,6668800,113.73
2014-08-08,115.93,116.42,115.38,115.52,9536700,113.74
2014-08-07,114.84,115.77,114.57,115.77,9745500,113.98
2014-08-06,115.47,115.47,114.60,114.70,7289200,112.93
2014-08-05,114.07,114.80,113.68,114.63,8032000,112.86
2014-08-04,114.53,114.81,114.26,114.26,5183800,112.50
2014-08-01,113.58,114.87,113.05,114.56,14951200,112.79
2014-07-31,113.53,114.58,113.47,113.98,18254000,111.93
2014-07-30,115.15,115.38,114.17,114.32,12251200,112.26
2014-07-29,115.87,116.07,115.42,115.93,6579300,113.84
