cdate,prediction,actual
2011-02-14,0.545,-0.323
2011-02-11,0.547,0.238
2011-02-10,0.548,0.551
2011-02-09,0.547,0.075
2011-02-08,0.547,-0.279
2011-02-07,0.547,0.418
2011-02-04,0.548,0.624
2011-02-03,0.545,0.288
2011-02-02,0.545,0.235
2011-02-01,0.544,-0.272
2011-01-31,0.545,1.669
2011-01-28,0.550,0.766
2011-01-27,0.543,-1.785
2011-01-26,0.541,0.224
2011-01-25,0.546,0.422
2011-01-24,0.544,0.026
2011-01-21,0.545,0.584
2011-01-20,0.546,0.241
2011-01-19,0.543,-0.129
2011-01-18,0.540,-1.012
2011-01-14,0.543,0.138
2011-01-13,0.544,0.738
2011-01-12,0.543,-0.171
2011-01-11,0.544,0.901
2011-01-10,0.546,0.373
2011-01-07,0.547,-0.138
2011-01-06,0.548,-0.184
2011-01-05,0.548,-0.212
2011-01-04,0.547,0.501
2011-01-03,0.548,-0.131
2010-12-31,0.534,1.131
2010-12-30,0.535,-0.019
2010-12-29,0.534,-0.151
2010-12-28,0.537,0.101
2010-12-27,0.538,0.077
2010-12-23,0.540,0.061
2010-12-22,0.539,-0.164
2010-12-21,0.538,0.338
2010-12-20,0.542,0.603
2010-12-17,0.544,0.255
2010-12-16,0.545,0.084
2010-12-15,0.546,0.619
2010-12-14,0.545,-0.512
2010-12-13,0.544,0.091
2010-12-10,0.545,0.005
2010-12-09,0.546,0.600
