cdate,prediction,actual
2015-03-11,0.094,1.260
2015-03-10,0.050,-0.192
2015-03-09,0.134,-1.696
2015-03-06,0.275,0.394
2015-03-05,-0.140,-1.417
2015-03-04,-0.143,0.120
2015-03-03,-0.120,-0.439
2015-03-02,0.144,-0.454
2015-02-27,-0.068,0.612
2015-02-26,0.002,-0.296
2015-02-25,-0.089,-0.148
2015-02-24,0.206,-0.077
2015-02-23,-0.041,0.276
2015-02-20,-1.156,-0.030
2015-02-19,-1.027,0.613
2015-02-18,-0.776,-0.106
2015-02-17,0.404,-0.031
2015-02-13,0.247,0.160
2015-02-12,0.065,0.407
2015-02-11,0.443,0.964
2015-02-10,0.295,-0.003
2015-02-09,0.030,1.068
2015-02-06,-0.064,-0.425
2015-02-05,0.193,-0.342
2015-02-04,-0.127,1.029
2015-02-03,0.211,-0.416
2015-02-02,0.217,1.444
2015-01-30,-0.917,1.296
2015-01-29,-0.181,-1.299
2015-01-28,-0.048,0.953
2015-01-27,0.071,-1.350
2015-01-26,-0.135,-1.339
2015-01-23,-0.138,0.257
2015-01-22,-0.211,-0.549
2015-01-21,0.423,1.527
2015-01-20,0.325,0.473
2015-01-16,-0.150,0.155
2015-01-15,0.443,1.342
2015-01-14,0.130,-0.925
2015-01-13,0.275,-0.581
2015-01-12,0.018,-0.258
2015-01-09,-0.064,-0.809
2015-01-08,0.468,-0.840
2015-01-07,0.507,1.789
2015-01-06,-0.264,1.163
2015-01-05,0.248,-0.889
2015-01-02,0.092,-1.828
2014-12-31,0.120,-0.034
2014-12-30,-0.066,-1.031
2014-12-29,0.163,-0.489
2014-12-26,0.192,0.086
2014-12-24,0.342,0.331
2014-12-23,0.130,-0.014
2014-12-22,0.127,0.175
2014-12-19,0.321,0.381
2014-12-18,0.408,0.457
2014-12-17,0.105,2.402
2014-12-16,-0.266,2.035
2014-12-15,-0.226,-0.849
2014-12-12,-0.630,-0.634
2014-12-11,-0.400,-1.621
2014-12-10,-0.282,0.454
2014-12-09,-0.487,-1.635
2014-12-08,-0.210,-0.024
2014-12-05,0.267,-0.726
2014-12-04,-0.056,0.167
2014-12-03,0.038,-0.116
2014-12-02,-0.085,0.376
2014-12-01,-0.437,0.638
2014-11-28,-0.399,-0.683
2014-11-26,-0.071,-0.254
2014-11-25,0.061,0.281
2014-11-24,-0.062,-0.115
2014-11-21,-0.263,0.286
2014-11-20,0.227,0.524
2014-11-19,-0.164,0.197
2014-11-18,-0.075,-0.150
2014-11-17,-0.190,0.513
2014-11-14,-0.017,0.074
2014-11-13,0.195,0.024
2014-11-12,0.103,0.053
2014-11-11,-0.117,-0.070
2014-11-10,0.195,0.070
2014-11-07,0.121,0.312
2014-11-06,-0.148,0.035
2014-11-05,0.118,0.378
2014-11-04,0.034,0.570
2014-11-03,0.351,-0.283
2014-10-31,0.810,-0.012
2014-10-30,0.197,1.173
2014-10-29,0.067,0.623
2014-10-28,0.076,-0.139
2014-10-27,0.236,1.194
2014-10-24,-0.145,-0.150
2014-10-23,-0.225,0.705
2014-10-22,0.081,1.230
2014-10-21,0.145,-0.730
2014-10-20,0.289,1.957
2014-10-17,-0.163,0.914
